name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,73,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,77,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,112,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,107,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,111,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,112,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,107,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,68,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,110,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,115,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,113,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,100,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,101,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,101,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,112,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,108,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,111,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,107,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,78,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,76,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,74,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,116,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,100,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,73,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,73,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,110,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,101,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,100,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,75,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,101,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,72,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,77,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,77,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,72,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,80,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,98,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,77,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,73,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,84,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,78,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,87,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,100,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,108,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,69,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,107,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,112,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,117,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,88,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,105,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,103,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,86,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,93,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,90,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,100,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,107,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,97,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,94,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,99,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,106,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,108,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,109,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,81,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,79,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,85,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,70,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,95,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,73,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,89,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,82,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,96,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,92,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,115,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,104,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,102,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,83,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,91,0,0
r_500_1500_0,r,500,1500,0.001,0.05,0.0,0.0,71,0,0
